client,sup_type,binning_mode,n_samples,labeled_ratio,mean_d_fg,mean_d_bg,bin,bin_name,bin_frac_mean,bin_frac_std
client1,keypoint,rule,550,0.00074951171875,129.99731705078204,108.61019296616358,0,direct_labeled,0.0007495117187500054,0.00019211757545188423
client1,keypoint,rule,550,0.00074951171875,129.99731705078204,108.61019296616358,1,near_any_label(d<=8),0.01605365175189387,0.0035996677329408746
client1,keypoint,rule,550,0.00074951171875,129.99731705078204,108.61019296616358,2,mid_range(8<d<=24),0.07634927152383197,0.015327474259010009
client1,keypoint,rule,550,0.00074951171875,129.99731705078204,108.61019296616358,3,far_from_label(d>24),0.9068475650055242,0.01724313107838995
client2,scribble,rule,327,0.022279698549789756,133.93721746298496,53.36770867264165,0,direct_labeled,0.022279698549789752,0.004692221382410193
client2,scribble,rule,327,0.022279698549789756,133.93721746298496,53.36770867264165,1,near_any_label(d<=8),0.1095195929695464,0.02268017718266487
client2,scribble,rule,327,0.022279698549789756,133.93721746298496,53.36770867264165,2,mid_range(8<d<=24),0.21988697939894433,0.04338365161904837
client2,scribble,rule,327,0.022279698549789756,133.93721746298496,53.36770867264165,3,far_from_label(d>24),0.6483137290817194,0.07014696601884758
client3,box,rule,170,0.9209911870021447,158.61674029144604,1.838837412539022,0,direct_labeled,0.9209911870021441,0.07046252510031571
client3,box,rule,170,0.9209911870021447,158.61674029144604,1.838837412539022,1,near_any_label(d<=8),0.02479248046875001,0.01122897234370429
client3,box,rule,170,0.9209911870021447,158.61674029144604,1.838837412539022,2,mid_range(8<d<=24),0.03832461288551882,0.02893673368195175
client3,box,rule,170,0.9209911870021447,158.61674029144604,1.838837412539022,3,far_from_label(d>24),0.0158917196435866,0.034018077177572346
client4,block,rule,900,0.8494788577232831,102.99601334088841,10.063569577466327,0,direct_labeled,0.8494788577232828,0.09120745430481246
client4,block,rule,900,0.8494788577232831,102.99601334088841,10.063569577466327,1,near_any_label(d<=8),0.056098904079861095,0.020732079291494485
client4,block,rule,900,0.8494788577232831,102.99601334088841,10.063569577466327,2,mid_range(8<d<=24),0.07688356752748834,0.04355621817186417
client4,block,rule,900,0.8494788577232831,102.99601334088841,10.063569577466327,3,far_from_label(d>24),0.017538670669367276,0.03353364237618656
