dataset,client,domain,assigned_key,file,total_px,ann_fg_px,ann_labeled_px,gt_fg_px,ann_fg_ratio,ann_labeled_ratio,gt_fg_ratio,ann_fg_inside_gt_ratio,gt_fg_covered_by_ann_ratio,ann_fg_boundary_ratio,ann_fg_core_ratio
faz,client1,Domain1,scribble_noisy,001_M_1.h5,65536,187,1401,2221,0.0028533935546875,0.0213775634765625,0.0338897705078125,1.0,0.08419630796938316,0.8235294117647058,0.17647058823529413
faz,client1,Domain1,scribble_noisy,001_N_1.h5,65536,168,1368,1850,0.0025634765625,0.0208740234375,0.028228759765625,1.0,0.09081081081081081,0.2261904761904762,0.7738095238095238
faz,client1,Domain1,scribble_noisy,002_D_10.h5,65536,292,602,9495,0.00445556640625,0.009185791015625,0.1448822021484375,1.0,0.030753027909426012,0.7534246575342466,0.2465753424657534
faz,client1,Domain1,scribble_noisy,002_M_10.h5,65536,198,1420,1244,0.003021240234375,0.02166748046875,0.01898193359375,1.0,0.15916398713826366,0.3686868686868687,0.6313131313131313
faz,client1,Domain1,scribble_noisy,003_D_100.h5,65536,160,1375,1566,0.00244140625,0.0209808349609375,0.023895263671875,1.0,0.10217113665389528,0.16875,0.83125
faz,client1,Domain1,scribble_noisy,003_M_100.h5,65536,217,1424,964,0.0033111572265625,0.021728515625,0.01470947265625,1.0,0.22510373443983403,0.3778801843317972,0.6221198156682027
faz,client1,Domain1,scribble_noisy,003_N_11.h5,65536,105,1363,1276,0.0016021728515625,0.0207977294921875,0.01947021484375,1.0,0.0822884012539185,0.38095238095238093,0.6190476190476191
faz,client1,Domain1,scribble_noisy,004_D_101.h5,65536,96,1342,1637,0.00146484375,0.020477294921875,0.0249786376953125,1.0,0.05864386072083079,0.20833333333333334,0.7916666666666666
faz,client1,Domain1,scribble_noisy,004_N_12.h5,65536,360,1658,2305,0.0054931640625,0.025299072265625,0.0351715087890625,1.0,0.1561822125813449,0.25,0.75
faz,client1,Domain1,scribble_noisy,005_D_102.h5,65536,194,1339,1702,0.002960205078125,0.0204315185546875,0.025970458984375,1.0,0.11398354876615746,0.030927835051546393,0.9690721649484536
